Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2025-11-10,243.2,247.2,243.2,245.6,150326
2025-11-12,245.6,246.3,242.3,243.4,203709
2025-11-13,245.2,245.7,233.8,237.4,355867
2025-11-14,233.1,236.7,230.5,236.7,223023
2025-11-17,237,238.2,228.7,230.9,307563
2025-11-18,228.8,230.3,225.8,229.8,248987
2025-11-19,230.4,230.6,226.4,229.2,212277
2025-11-20,230.2,233.2,227.4,227.8,174080
2025-11-21,226.1,228.8,223.2,228.2,218360
2025-11-24,235,235.3,225.6,230.9,382241
2025-11-25,233.7,234.3,229.8,231.5,254345
2025-11-26,234.9,243.5,233.2,243,358306
2025-11-27,245.8,257.7,240,249.3,766142
2025-11-28,249.4,256.8,247.8,256.4,305766
2025-12-01,256.8,260.7,253.7,255.8,206137
2025-12-02,255.8,258.8,253.5,255.3,174597
2025-12-03,257,258.1,251.4,251.9,150449
2025-12-04,251.9,255.2,251.1,254.6,134336
2025-12-05,255.5,255.6,238.8,238.8,360977
2025-12-08,241.1,243.9,234.1,243,315344
